run_dir	dataset	model	interaction_method	meta_present	dataset.name	dataset.all_times	n	L	w	gamma	dataset.cross_coeff	dataset.noise	lbl	tws	m	h	ly	bsval	taumax	clf.epoch	clf.train_loss	clf.accuracy	clf.precision	clf.recall	clf.f1	clf.auroc	clf.auprc	clf.val_loss	noise	window_size	dm	pairwise.ls.precision	pairwise.ls.recall	pairwise.ls.f1	pairwise.ls.tp	pairwise.ls.fp	pairwise.ls.fn	pairwise.ls.auroc	pairwise.ls.auprc	pairwise.la.precision	pairwise.la.recall	pairwise.la.f1	pairwise.la.tp	pairwise.la.fp	pairwise.la.fn	pairwise.la.auroc	pairwise.la.auprc	pairwise.lag_locality.mean_lag_error	pairwise.lag_locality.mean_loc@5	pairwise.strength.spearman	pairwise.delta	dataset.p	d	dataset.a1	dataset.split_ratio	a1	pointwise.AOPC_deletion	pointwise.AOPC_insertion	pointwise.Sufficiency	pointwise.Comprehensiveness	dataset.a9	dataset.a10
../runs_new/var_local_a10.1_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep200	var_local	lstm		True	var_local	False	400.0	50.0				0.05			lstm	32.0	2.0	32.0	25.0	200.0	0.3715	0.7375	0.6774	0.6562	0.6667	0.7721	0.676	0.5799	0.05																								3.0	0.1	0.8	0.1						
../runs_new/var_local_a10.2_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep200	var_local	lstm		True	var_local	False	400.0	50.0				0.05			lstm	16.0	2.0	32.0	25.0	200.0	0.5241	0.6125	0.569	0.8462	0.6804	0.6792	0.6673	0.7031	0.05																								3.0	0.2	0.8	0.2						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep200	var_local	lstm		True	var_local	False	400.0	50.0				0.05			lstm	16.0	2.0	32.0	25.0	200.0	0.6272	0.55	0.5357	0.75	0.625	0.5956	0.5786	0.7331	0.05																								3.0	0.05	0.8	0.05						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep200	var_local	lstm		True	var_local	False	400.0	50.0				0.05			lstm	8.0	2.0	32.0	25.0	200.0	0.5815	0.5125	0.4528	0.7059	0.5517	0.5965	0.5626	0.7407	0.05																								3.0	0.05	0.8	0.05						
../runs_new/var_local_a10.4_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep200	var_local	lstm		True	var_local	False	400.0	50.0				0.05			lstm	8.0	2.0	32.0	25.0	200.0	0.6002	0.6125	0.5417	0.3939	0.4561	0.588	0.5135	0.7198	0.05																								3.0	0.4	0.8	0.4						
../runs_new/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0634	0.9625	0.9318	1.0	0.9647	1.0	1.0	0.048	0.05		8.0																						3.0		0.8						0.7	0.75
../runs_new/var_nonlocal_a100.75_a90.5_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0728	0.9375	1.0	0.8864	0.9398	0.9994	0.9995	0.1528	0.05		8.0																						3.0		0.8						0.5	0.75
../runs_new/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0056	0.975	0.9792	0.9792	0.9792	0.9987	0.9991	0.0736	0.05		16.0																						3.0		0.8						0.8	0.75
../runs_new/var_nonlocal_a100.75_a90.6_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0522	0.9625	1.0	0.9348	0.9663	0.9981	0.9987	0.1093	0.05		8.0																						3.0		0.8						0.6	0.75
../runs_new/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_nonlocal	transformer		True	var_nonlocal	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0229	0.975	1.0	0.95	0.9744	0.9975	0.9976	0.1012	0.05		16.0																						3.0		0.8						0.7	0.75
