dataset	model_name	runs_dir	model_params	pairwise_xai	epoch	precision	recall	f1	auroc	auprc	train_loss	val_loss	a1	a10	n	d	L	dm	ly	bs	ep	taumax	h	nperm	noise	gamma	w	rho
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max50_num_permutations50	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.7021	0.9429	0.8049	0.8698	0.8256	0.1999	0.6182								32	100							
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.4	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.8929	0.5952	0.7143	0.8145	0.8609	0.2779	0.9097	0.05	.05						32	100				0.4			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.4_noise0.4	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.875	0.8571	0.866	0.9039	0.9349	0.1983	0.3894	0.4	.4						32	100				0.4			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.1	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.75	0.8108	0.7792	0.8843	0.8855	0.3279	0.5192	0.05	.05						32	100				0.1			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.1	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.913	0.5833	0.7119	0.8851	0.8872	0.2465	0.5965	0.2	.2						32	100				0.1			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.05	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.6825	0.9149	0.7818	0.764	0.8419	0.2845	0.6852	0.2	.2						32	100				0.05			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.1_noise0.05	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.8857	0.6739	0.7654	0.8689	0.9182	0.1449	0.6931	0.1	.1						32	100				0.05			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.8_noise0.2	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.7333	0.8049	0.7674	0.8299	0.827	0.2671	0.6264	0.8	.8						32	100				0.2			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max20_num_permutations20_a10.8_noise0.1_coeff_scale0.2	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9333	0.6364	0.7568	0.9122	0.934	0.2474	0.5704	0.8	.8						32	100				0.1			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.2	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.7879	0.7429	0.7647	0.8851	0.8449	0.2897	0.4135	0.05	.05						32	100				0.2			
var_local	tcn	../runs/var_local/tcn/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.2	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.8696	0.8696	0.8696	0.9073	0.9375	0.233	0.3977	0.2	.2						32	100				0.2			
var_local	lstm	../runs/var_local/lstm_d_model16_layers2/ep100_bs32/tau_max25_num_permutations20_a10.1_noise0.05	{'model_name': 'lstm', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	1.0	0.7059	0.8276	0.9885	0.9853	0.2677	0.2322	0.1	.1						32	100				0.05			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.4_noise0.1	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9524	0.9524	0.9524	0.9919	0.9932	0.0171	0.1315	0.4	.4						32	100				0.1			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.4_noise0.2	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9737	0.9487	0.961	0.9937	0.9943	0.0038	0.1084	0.4	.4						32	100				0.2			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.1_noise0.4	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.881	1.0	0.9367	0.9969	0.9965	0.0029	0.2899	0.1	.1						32	100				0.4			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.4	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9756	0.9756	0.9756	0.9969	0.9972	0.0019	0.1471	0.2	.2						32	100				0.4			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.8_noise0.05	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9762	0.9535	0.9647	0.9962	0.9968	0.007	0.1012	0.8	.8						32	100				0.05			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.05	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9722	0.8974	0.9333	0.99	0.9898	0.0118	0.1898	0.05	.05						32	100				0.05			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.4_noise0.05	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9773	0.9773	0.9773	0.9994	0.9995	0.0003	0.0408	0.4	.4						32	100				0.05			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.1_noise0.2	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.8776	1.0	0.9348	0.9899	0.9911	0.0431	0.4022	0.1	.1						32	100				0.2			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.1_noise0.1	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9737	0.9024	0.9367	0.9887	0.9904	0.0008	0.3268	0.1	.1						32	100				0.1			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.8_noise0.4	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	1.0	0.973	0.9863	0.9994	0.9993	0.0166	0.0519	0.8	.8						32	100				0.4			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.8_noise0.1	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9524	0.9756	0.9639	0.9919	0.9934	0.0089	0.2126	0.8	.8						32	100				0.1			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.4	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9412	0.9412	0.9412	0.9898	0.9879	0.0036	0.1699	0.05	.05						32	100				0.4			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.4_noise0.4	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9545	1.0	0.9767	1.0	1.0	0.006	0.1405	0.4	.4						32	100				0.4			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.1	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9388	0.92	0.9293	0.988	0.9931	0.0014	0.2324	0.05	.05						32	100				0.1			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.1	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.8824	0.9677	0.9231	0.9882	0.985	0.0148	0.3335	0.2	.2						32	100				0.1			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.05	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.95	0.8837	0.9157	0.9843	0.9872	0.0254	0.2506	0.2	.2						32	100				0.05			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.1_noise0.05	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9524	0.9302	0.9412	0.9874	0.9899	0.0012	0.2154	0.1	.1						32	100				0.05			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.8_noise0.2	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9545	1.0	0.9767	0.9975	0.9978	0.0014	0.1104	0.8	.8						32	100				0.2			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.05_noise0.2	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9545	0.9333	0.9438	0.9937	0.9952	0.0015	0.2374	0.05	.05						32	100				0.2			
var_local	transformer	../runs/var_local/transformer_d_model32_layers2/ep100_bs32/tau_max25_num_permutations20_a10.2_noise0.2	{'model_name': 'transformer', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9744	0.95	0.962	0.9956	0.9959	0.0483	0.0818	0.2	.2						32	100				0.2			
cltts_gamma0.95_cross_coeff0.8_n400_L50_w5	transformer	../runs/cltts_gamma0.95_cross_coeff0.8_n400_L50_w5/transformer_dm8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 8, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	1.0	1.0			0.001	0.001			400		50	8	2	32	100	25				0.95	5	
cltts_gamma0.95_cross_coeff0.8_n400_L50_w5	lstm	../runs/cltts_gamma0.95_cross_coeff0.8_n400_L50_w5/lstm_h32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 32, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	1.0	1.0			0.0212	0.0032			400		50		2	32	100	25	32			0.95	5	
cltts_gamma0.95_cross_coeff0.8_n400_L50_w5	transformer	../runs/cltts_gamma0.95_cross_coeff0.8_n400_L50_w5/transformer_dm16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	1.0	1.0			0.0003	0.0002			400		50	16	2	32	100	25				0.95	5	
cltts_gamma0.95_cross_coeff0.8_n400_L50_w5	lstm	../runs/cltts_gamma0.95_cross_coeff0.8_n400_L50_w5/lstm_h8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 8, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	1.0	1.0			0.0014	0.0014			400		50		2	32	100	25	8			0.95	5	
cltts_gamma0.95_cross_coeff0.8_n400_L50_w5	transformer	../runs/cltts_gamma0.95_cross_coeff0.8_n400_L50_w5/transformer_dm32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 32, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	1.0	1.0			0.0	0.0			400		50	32	2	32	100	25				0.95	5	
cltts_gamma0.95_cross_coeff0.8_n400_L50_w5	lstm	../runs/cltts_gamma0.95_cross_coeff0.8_n400_L50_w5/lstm_h16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 16, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	1.0	1.0			0.0006	0.0006			400		50		2	32	100	25	16			0.95	5	
var	tcn	../runs/var/tcn/ep100_bs32/tau_max50_num_permutations50	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	0.9899	0.98	0.9849	0.9998	0.9998	0.0013	0.0225								32	100							
var	tcn	../runs/var/tcn/ep100_bs32/tau_max10_num_permutations5_coeff_scale0.2_noise0.05	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	100	1.0	1.0	1.0	1.0	1.0	0.0013	0.0134								32	100				0.05			
var	tcn	../runs/var/tcn/ep25_bs32/tau_max50_num_permutations50	{'model_name': 'tcn', 'd_model': None, 'hidden': None, 'layers': None}	{'interaction_method': None, 'num_permutations': None, 'tau_max': None, 'baseline': None}	25	1.0	1.0	1.0	1.0	1.0	0.0	0.0								32	25							
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 8, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8444	1.0	0.9157	0.9893	0.9883	0.0613	0.2715	00.75	0.75	400	3	50	8	2	32	100	25						
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h64_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 64, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8529	0.8529	0.8529	0.9425	0.9277	0.2558	0.3174	00.75	0.75	400	3	50		2	32	100	25	64					
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 32, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8	0.8	0.8	0.915	0.9188	0.3138	0.3817	00.75	0.75	400	3	50		2	32	100	25	32					
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm64_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 64, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9231	0.973	0.9474	0.9937	0.9926	0.0104	0.1243	00.75	0.75	400	3	50	64	2	32	100	25						
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9211	0.9211	0.9211	0.9906	0.9904	0.0243	0.1704	00.75	0.75	400	3	50	16	2	32	100	25						
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 8, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.7838	0.6905	0.7342	0.8346	0.863	0.4816	0.4966	00.75	0.75	400	3	50		2	32	100	25	8					
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 32, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.881	1.0	0.9367	0.9912	0.9898	0.0339	0.1407	00.75	0.75	400	3	50	32	2	32	100	25						
var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.7_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 16, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8205	0.8	0.8101	0.9062	0.911	0.3127	0.3891	00.75	0.75	400	3	50		2	32	100	25	16					
var_local_a10.1_n400_d3_L50_split_ratio0.8	transformer	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'transformer', 'd_model': 8, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9429	0.9429	0.9429	0.9867	0.9834	0.2819	0.1517	0.1	.1	400	3	50	8	2	32	100	25						
var_local_a10.1_n400_d3_L50_split_ratio0.8	lstm	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/lstm_h64_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 64, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9024	0.881	0.8916	0.9417	0.953	0.435	0.4065	0.1	.1	400	3	50		2	32	100	25	64					
var_local_a10.1_n400_d3_L50_split_ratio0.8	lstm	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 32, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9231	0.75	0.8276	0.9375	0.9612	0.4263	0.4163	0.1	.1	400	3	50		2	32	100	25	32					
var_local_a10.1_n400_d3_L50_split_ratio0.8	transformer	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/transformer_dm64_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'transformer', 'd_model': 64, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8974	0.7778	0.8333	0.8927	0.91	0.0189	0.8366	0.1	.1	400	3	50	64	2	32	100	25						
var_local_a10.1_n400_d3_L50_split_ratio0.8	transformer	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8974	1.0	0.9459	0.9937	0.9922	0.2557	0.1257	0.1	.1	400	3	50	16	2	32	100	25						
var_local_a10.1_n400_d3_L50_split_ratio0.8	lstm	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 8, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.52	0.7027	0.5977	0.7046	0.7257	0.6006	0.6508	0.1	.1	400	3	50		2	32	100	25	8					
var_local_a10.1_n400_d3_L50_split_ratio0.8	transformer	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'transformer', 'd_model': 32, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8571	0.9231	0.8889	0.9719	0.9735	0.1295	0.2495	0.1	.1	400	3	50	32	2	32	100	25						
var_local_a10.1_n400_d3_L50_split_ratio0.8	lstm	../runs/var_local_a10.1_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 16, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.623	0.8261	0.7103	0.7302	0.8128	0.6529	0.6492	0.1	.1	400	3	50		2	32	100	25	16					
var_nonlocal_a10.05_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_epoch0.8	transformer	../runs/var_nonlocal_a10.05_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_epoch0.8/transformer_dm16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_params.num_permutations20_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9535	0.9762	0.9647	0.9912	0.9934	0.186	0.1219	0.05	.05	400	3	50	16	2	32	100	25	0					
cltts_gamma0.95_cross_coeff0_n400_L50_w5	transformer	../runs/cltts_gamma0.95_cross_coeff0_n400_L50_w5/transformer_dm8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 8, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9057	0.9231	0.9143	0.9423	0.9685	0.348	0.3178			400		50	8	2	32	100	25				0.95	5	
cltts_gamma0.95_cross_coeff0_n400_L50_w5	lstm	../runs/cltts_gamma0.95_cross_coeff0_n400_L50_w5/lstm_h32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 32, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.6875	1.0	0.8148	0.7404	0.8129	0.5837	0.633			400		50		2	32	100	25	32			0.95	5	
cltts_gamma0.95_cross_coeff0_n400_L50_w5	transformer	../runs/cltts_gamma0.95_cross_coeff0_n400_L50_w5/transformer_dm16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8056	0.9831	0.8855	0.9532	0.9842	0.179	0.3807			400		50	16	2	32	100	25				0.95	5	
cltts_gamma0.95_cross_coeff0_n400_L50_w5	lstm	../runs/cltts_gamma0.95_cross_coeff0_n400_L50_w5/lstm_h8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 8, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.7125	1.0	0.8321	0.7818	0.9044	0.5818	0.6036			400		50		2	32	100	25	8			0.95	5	
